name,url
3N+1 Series,https://codeforces.com/group/gA8A93jony/contest/269931/problem/A
Binary search,https://codeforces.com/group/gA8A93jony/contest/269931/problem/B
Fast power,https://codeforces.com/group/gA8A93jony/contest/269931/problem/C
Merge sort,https://codeforces.com/group/gA8A93jony/contest/269931/problem/D
Pyramid,https://codeforces.com/group/gA8A93jony/contest/269931/problem/E
Multiplication of Matrices,https://codeforces.com/group/gA8A93jony/contest/269931/problem/F
Flood Fill,https://codeforces.com/group/gA8A93jony/contest/269931/problem/G
Go from S to E,https://codeforces.com/group/gA8A93jony/contest/269931/problem/H
Conected cells,https://codeforces.com/group/gA8A93jony/contest/269931/problem/I
El Halazona,https://codeforces.com/group/gA8A93jony/contest/269931/problem/J
Jpeg,https://codeforces.com/group/gA8A93jony/contest/269931/problem/K
Print the symbol,https://codeforces.com/group/gA8A93jony/contest/269931/problem/L
Generating palindromic substrings,https://codeforces.com/group/gA8A93jony/contest/269931/problem/M
The maximum path-sum,https://codeforces.com/group/gA8A93jony/contest/269931/problem/N
Sum it up,https://codeforces.com/group/gA8A93jony/contest/269931/problem/O
